pair,direction,entry_price,exit_price,units,pnl_pips,pnl_usd,spread_cost,swap_cost,bars_held,reason,entry_date,exit_date
EURUSD,SHORT,1.1550845586776732,1.15612,4000,-10.3,-4.73,0.6,0.0,4,SL,2026-09-14 16:30:00+01:00,2026-09-14 17:30:00+01:00
EURUSD,SHORT,1.1548177682876586,1.15522,4000,-4.0,-2.2,0.6,0.0,1,SL,2026-09-16 06:30:00+01:00,2026-09-16 06:45:00+01:00
EURUSD,SHORT,1.1546843730926513,1.15359,4000,10.9,3.78,0.6,0.0,8,TP,2026-09-16 10:00:00+01:00,2026-09-16 12:00:00+01:00
EURUSD,SHORT,1.1538849555969237,1.15451,4000,-6.2,-3.09,0.6,0.0,10,SL,2026-09-16 13:30:00+01:00,2026-09-16 16:00:00+01:00
EURUSD,SHORT,1.1480556213378905,1.14864,4000,-5.8,-2.94,0.6,0.0,20,SL,2026-09-17 08:00:00+01:00,2026-09-17 13:00:00+01:00
EURUSD,SHORT,1.1483193122863768,1.14925,4000,-9.3,-4.72,0.6,0.4,51,SL,2026-09-17 16:15:00+01:00,2026-09-18 05:00:00+01:00
