pair,direction,entry_price,exit_price,units,pnl_pips,pnl_usd,spread_cost,swap_cost,bars_held,reason,entry_date,exit_date
EURUSD,SHORT,1.0962008916854857,1.0978,3000,-16.0,-5.26,0.45,0.0,4,SL,2024-10-04 16:00:00+01:00,2024-10-04 20:00:00+01:00
EURUSD,SHORT,1.0909383975982665,1.09229,3000,-13.5,-4.51,0.45,0.0,1,SL,2024-10-10 17:00:00+01:00,2024-10-10 18:00:00+01:00
EURUSD,SHORT,1.0839608394622802,1.08006,2000,39.0,7.51,0.3,0.0,1,TP,2024-11-06 01:00:00+00:00,2024-11-06 02:00:00+00:00
EURUSD,SHORT,1.076724001121521,1.07932,1000,-26.0,-2.75,0.15,0.0,3,SL,2024-11-06 02:00:00+00:00,2024-11-06 05:00:00+00:00
EURUSD,SHORT,1.0486077749252318,1.0512,1000,-25.9,-2.74,0.15,0.0,13,SL,2024-11-25 00:00:00+00:00,2024-11-25 13:00:00+00:00
EURUSD,SHORT,1.0530249559402465,1.04863,2000,43.9,8.49,0.3,0.0,3,TP,2024-11-25 13:00:00+00:00,2024-11-25 16:00:00+00:00
EURUSD,SHORT,1.0509221040725707,1.0463,1000,46.2,4.47,0.15,0.0,5,TP,2024-11-25 18:00:00+00:00,2024-11-25 23:00:00+00:00
EURUSD,SHORT,1.0389110528945922,1.04116,2000,-22.4,-4.79,0.3,0.0,6,SL,2024-12-19 02:00:00+00:00,2024-12-19 08:00:00+00:00
EURUSD,SHORT,1.0415081464767455,1.03785,2000,36.6,7.01,0.3,0.0,7,TP,2024-12-19 09:00:00+00:00,2024-12-19 16:00:00+00:00
EURUSD,SHORT,1.0283333742141723,1.03052,2000,-21.8,-4.67,0.3,0.0,23,SL,2025-01-15 16:00:00+00:00,2025-01-16 15:00:00+00:00
EURUSD,SHORT,1.133994051170349,1.13761,1000,-36.1,-3.76,0.15,0.0,15,SL,2025-04-23 17:00:00+01:00,2025-04-24 08:00:00+01:00
EURUSD,SHORT,1.1544178211212157,1.15765,1000,-32.3,-3.38,0.15,0.0,3,SL,2025-08-01 17:00:00+01:00,2025-08-01 20:00:00+01:00
EURUSD,SHORT,1.1569556676864623,1.15951,1000,-25.5,-2.75,0.15,0.05,47,SL,2025-08-04 12:00:00+01:00,2025-08-06 11:00:00+01:00
EURUSD,SHORT,1.1740723335266112,1.17252,4000,15.5,5.6,0.6,0.0,2,TP,2025-12-31 06:00:00+00:00,2025-12-31 08:00:00+00:00
EURUSD,SHORT,1.141893573951721,1.14287,4000,-9.8,-4.51,0.6,0.0,5,SL,2026-07-06 12:00:00+01:00,2026-07-06 17:00:00+01:00
EURUSD,SHORT,1.1616600238800048,1.16259,4000,-9.3,-4.32,0.6,0.0,8,SL,2026-09-07 00:00:00+01:00,2026-09-07 08:00:00+01:00
EURUSD,SHORT,1.1616600238800048,1.16246,4000,-8.0,-3.78,0.6,0.0,3,SL,2026-09-08 11:00:00+01:00,2026-09-08 14:00:00+01:00
EURUSD,SHORT,1.1556184970855712,1.15366,4000,19.6,7.25,0.6,0.0,6,TP,2026-09-14 07:00:00+01:00,2026-09-14 13:00:00+01:00
EURUSD,SHORT,1.1534856044769286,1.15466,4000,-11.7,-5.3,0.6,0.0,3,SL,2026-09-14 13:00:00+01:00,2026-09-14 16:00:00+01:00
EURUSD,SHORT,1.1537517988204955,1.15466,4000,-9.1,-4.23,0.6,0.0,7,SL,2026-09-15 06:00:00+01:00,2026-09-15 13:00:00+01:00
