pair,direction,entry_price,exit_price,units,pnl_pips,pnl_usd,spread_cost,swap_cost,bars_held,reason,entry_date,exit_date
EURUSD,SHORT,1.1544178211212157,1.15845,1000,-40.4,-4.19,0.15,0.0,3,SL,2025-08-01 17:00:00+01:00,2025-08-01 20:00:00+01:00
EURUSD,SHORT,1.1576253854751586,1.16083,1000,-32.1,-3.46,0.15,0.1,48,SL,2025-08-04 11:00:00+01:00,2025-08-06 11:00:00+01:00
EURUSD,SHORT,1.1605814182281493,1.15804,3000,25.4,7.02,0.45,0.15,29,TP,2025-11-27 03:00:00+00:00,2025-11-28 08:00:00+00:00
EURUSD,SHORT,1.1681743347167968,1.16617,4000,20.1,7.43,0.6,0.0,8,TP,2025-12-04 08:00:00+00:00,2025-12-04 16:00:00+00:00
EURUSD,SHORT,1.1760054313659667,1.17295,2000,30.6,5.82,0.3,0.0,19,TP,2025-12-11 15:00:00+00:00,2025-12-12 10:00:00+00:00
EURUSD,SHORT,1.1709101879119872,1.17234,3000,-14.3,-4.73,0.45,0.0,7,SL,2025-12-19 07:00:00+00:00,2025-12-19 14:00:00+00:00
EURUSD,SHORT,1.1796125852584838,1.17721,3000,24.0,6.76,0.45,0.0,6,TP,2025-12-26 02:00:00+00:00,2025-12-26 08:00:00+00:00
EURUSD,SHORT,1.176835962486267,1.17444,3000,23.9,6.72,0.45,0.0,10,TP,2025-12-30 16:00:00+00:00,2025-12-31 02:00:00+00:00
EURUSD,SHORT,1.1740723335266112,1.17513,4000,-10.6,-4.83,0.6,0.0,6,SL,2025-12-31 06:00:00+00:00,2025-12-31 12:00:00+00:00
EURUSD,SHORT,1.1991345369338988,1.19348,1000,56.5,5.5,0.15,0.0,7,TP,2026-01-28 09:00:00+00:00,2026-01-28 16:00:00+00:00
EURUSD,SHORT,1.1925558530807494,1.19606,1000,-35.1,-3.66,0.15,0.0,4,SL,2026-01-28 18:00:00+00:00,2026-01-28 22:00:00+00:00
EURUSD,SHORT,1.1557521306991576,1.15949,1000,-37.4,-3.89,0.15,0.0,1,SL,2026-03-23 11:00:00+00:00,2026-03-23 12:00:00+00:00
EURUSD,SHORT,1.1695405923843383,1.1721,2000,-25.6,-5.42,0.3,0.0,8,SL,2026-04-08 06:00:00+01:00,2026-04-08 14:00:00+01:00
EURUSD,SHORT,1.1786393606185912,1.18007,3000,-14.3,-4.73,0.45,0.0,3,SL,2026-04-15 03:00:00+01:00,2026-04-15 06:00:00+01:00
EURUSD,SHORT,1.179473468017578,1.18082,3000,-13.5,-4.5,0.45,0.0,10,SL,2026-04-15 06:00:00+01:00,2026-04-15 16:00:00+01:00
EURUSD,SHORT,1.1632817470550536,1.16427,4000,-9.8,-4.54,0.6,0.0,3,SL,2026-05-26 05:00:00+01:00,2026-05-26 08:00:00+01:00
EURUSD,SHORT,1.141893573951721,1.14311,4000,-12.2,-5.48,0.6,0.0,5,SL,2026-07-06 12:00:00+01:00,2026-07-06 17:00:00+01:00
EURUSD,SHORT,1.1560193979263305,1.15432,4000,17.0,6.18,0.6,0.0,17,TP,2026-08-10 10:00:00+01:00,2026-08-11 03:00:00+01:00
EURUSD,SHORT,1.154018112373352,1.15491,4000,-8.9,-4.16,0.6,0.0,16,SL,2026-08-11 18:00:00+01:00,2026-08-12 10:00:00+01:00
EURUSD,SHORT,1.1665389024734496,1.16818,3000,-16.4,-5.37,0.45,0.0,5,SL,2026-08-19 15:00:00+01:00,2026-08-19 20:00:00+01:00
EURUSD,SHORT,1.1677649700164794,1.1692,3000,-14.4,-4.76,0.45,0.0,5,SL,2026-08-20 03:00:00+01:00,2026-08-20 08:00:00+01:00
EURUSD,SHORT,1.168720432472229,1.1703,3000,-15.8,-5.2,0.45,0.0,15,SL,2026-08-20 12:00:00+01:00,2026-08-21 03:00:00+01:00
EURUSD,SHORT,1.168447323989868,1.16586,3000,25.9,7.17,0.45,0.15,36,TP,2026-08-21 17:00:00+01:00,2026-08-25 06:00:00+01:00
EURUSD,SHORT,1.1655870162963866,1.16646,4000,-8.7,-4.1,0.6,0.0,2,SL,2026-08-25 06:00:00+01:00,2026-08-25 08:00:00+01:00
EURUSD,SHORT,1.1661307298660277,1.16705,4000,-9.2,-4.3,0.6,0.0,1,SL,2026-08-25 08:00:00+01:00,2026-08-25 09:00:00+01:00
EURUSD,SHORT,1.1595047199249267,1.1605,4000,-10.0,-4.59,0.6,0.0,3,SL,2026-09-01 11:00:00+01:00,2026-09-01 14:00:00+01:00
EURUSD,SHORT,1.1616600238800048,1.16282,4000,-11.6,-5.25,0.6,0.0,9,SL,2026-09-07 00:00:00+01:00,2026-09-07 09:00:00+01:00
EURUSD,SHORT,1.162470408630371,1.1634,4000,-9.3,-4.32,0.6,0.0,8,SL,2026-09-08 07:00:00+01:00,2026-09-08 15:00:00+01:00
EURUSD,SHORT,1.1556184970855712,1.15339,3000,22.3,6.24,0.45,0.0,7,TP,2026-09-14 07:00:00+01:00,2026-09-14 14:00:00+01:00
EURUSD,SHORT,1.1528206550598143,1.15433,3000,-15.1,-4.97,0.45,0.0,1,SL,2026-09-14 14:00:00+01:00,2026-09-14 15:00:00+01:00
EURUSD,SHORT,1.1537517988204955,1.15489,4000,-11.4,-5.14,0.6,0.0,7,SL,2026-09-15 06:00:00+01:00,2026-09-15 13:00:00+01:00
