pair,direction,entry_price,exit_price,units,pnl_pips,pnl_usd,spread_cost,swap_cost,bars_held,reason,entry_date,exit_date
USDJPY,SHORT,160.6770068359375,159.10207,1000,157.5,10.61,0.1,0.0,4,TP,2026-07-31 05:00:00+01:00,2026-07-31 09:00:00+01:00
USDJPY,SHORT,159.98399841308594,159.969,1000,1.5,-0.0,0.1,0.0,1,SL,2026-07-31 10:00:00+01:00,2026-07-31 11:00:00+01:00
USDJPY,SHORT,156.25400268554688,156.239,1000,1.5,-0.0,0.1,0.0,1,SL,2026-09-04 12:00:00+01:00,2026-09-04 13:00:00+01:00
USDJPY,SHORT,153.79999267578125,153.78499,1000,1.5,-0.0,0.1,0.0,13,SL,2026-09-08 13:00:00+01:00,2026-09-09 02:00:00+01:00
USDJPY,SHORT,153.5439959716797,153.529,1000,1.5,-0.0,0.1,0.0,5,SL,2026-09-09 11:00:00+01:00,2026-09-09 16:00:00+01:00
