pair,direction,entry_price,exit_price,units,pnl_pips,pnl_usd,spread_cost,swap_cost,bars_held,reason,entry_date,exit_date
USDJPY,SHORT,159.23199951171875,159.41419,1000,-18.2,-1.34,0.1,0.0,3,Trail,2026-07-31 15:00:00+01:00,2026-07-31 18:00:00+01:00
USDJPY,SHORT,158.87799560546875,157.38428,1000,149.4,10.06,0.1,0.0,2,TP,2026-07-31 19:00:00+01:00,2026-07-31 21:00:00+01:00
USDJPY,SHORT,156.54500305175782,157.2412,1000,-69.6,-4.84,0.1,0.0,8,SL,2026-08-03 15:00:00+01:00,2026-08-03 23:00:00+01:00
USDJPY,SHORT,157.53099548339844,157.99458,1000,-46.4,-3.32,0.1,0.07,58,SL,2026-08-04 05:00:00+01:00,2026-08-06 15:00:00+01:00
USDJPY,SHORT,158.3770037841797,158.57271,1000,-19.6,-1.43,0.1,0.0,4,SL,2026-08-06 21:00:00+01:00,2026-08-07 01:00:00+01:00
USDJPY,SHORT,158.6530047607422,158.91059,1000,-25.8,-1.85,0.1,0.0,4,SL,2026-08-10 09:00:00+01:00,2026-08-10 13:00:00+01:00
USDJPY,SHORT,159.08800231933594,158.75202,1000,33.6,2.18,0.1,0.0,1,TP,2026-08-12 12:00:00+01:00,2026-08-12 13:00:00+01:00
USDJPY,SHORT,159.00999938964844,159.24196,1000,-23.2,-1.68,0.1,0.0,1,SL,2026-08-12 14:00:00+01:00,2026-08-12 15:00:00+01:00
USDJPY,SHORT,159.15799438476563,159.34935,1000,-19.1,-1.4,0.1,0.0,1,SL,2026-08-13 15:00:00+01:00,2026-08-13 16:00:00+01:00
USDJPY,SHORT,159.1980029296875,158.91244,1000,28.6,1.84,0.1,0.0,5,TP,2026-08-14 08:00:00+01:00,2026-08-14 13:00:00+01:00
USDJPY,SHORT,159.01300537109375,159.19357,1000,-18.1,-1.33,0.1,0.0,10,SL,2026-08-17 01:00:00+01:00,2026-08-17 11:00:00+01:00
USDJPY,SHORT,158.48399841308594,158.74023,1000,-25.6,-1.84,0.1,0.0,4,SL,2026-08-20 09:00:00+01:00,2026-08-20 13:00:00+01:00
USDJPY,SHORT,158.89699279785157,158.40599,1000,49.1,3.24,0.1,0.0,2,TP,2026-09-03 00:00:00+01:00,2026-09-03 02:00:00+01:00
USDJPY,SHORT,155.84300720214844,156.29823,1000,-45.5,-3.2,0.1,0.0,2,SL,2026-09-04 02:00:00+01:00,2026-09-04 04:00:00+01:00
USDJPY,SHORT,155.83600341796875,154.93877,1000,89.7,6.0,0.1,0.0,17,TP,2026-09-04 14:00:00+01:00,2026-09-07 09:00:00+01:00
USDJPY,SHORT,153.77199279785157,154.16775,1000,-39.6,-2.79,0.1,0.0,2,SL,2026-09-08 07:00:00+01:00,2026-09-08 09:00:00+01:00
USDJPY,SHORT,153.9969989013672,153.2365,1000,76.1,5.07,0.1,0.0,15,TP,2026-09-08 15:00:00+01:00,2026-09-09 06:00:00+01:00
USDJPY,SHORT,153.29500305175782,153.67408,1000,-37.9,-2.68,0.1,0.0,3,SL,2026-09-09 06:00:00+01:00,2026-09-09 09:00:00+01:00
USDJPY,SHORT,154.03700744628907,154.39937,1000,-36.2,-2.57,0.1,0.0,7,SL,2026-09-10 14:00:00+01:00,2026-09-10 21:00:00+01:00
USDJPY,SHORT,154.38100158691407,154.217,1000,16.4,1.01,0.1,0.0,5,Signal flip,2026-09-11 03:00:00+01:00,2026-09-11 08:00:00+01:00
USDJPY,SHORT,154.5629931640625,154.8579,1000,-29.5,-2.11,0.1,0.0,2,SL,2026-09-14 11:00:00+01:00,2026-09-14 13:00:00+01:00
USDJPY,SHORT,154.90900146484375,155.18982,1000,-28.1,-2.01,0.1,0.0,8,SL,2026-09-15 10:00:00+01:00,2026-09-15 18:00:00+01:00
