entry_date,exit_date,type,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission
2026-06-17 13:45:00-04:00,2026-06-17 14:30:00-04:00,short,27.886,28.458,1,28.4438,26.7706,-0.57,-2.05,Stop-loss,0.01
2026-06-17 14:30:00-04:00,2026-06-17 15:30:00-04:00,short,28.7156,27.5808,1,29.2899,27.567,1.13,3.95,Take-profit,0.01
2026-06-17 15:30:00-04:00,2026-06-18 09:30:00-04:00,short,27.2764,27.8358,1,27.8219,26.1853,-0.56,-2.05,Stop-loss,0.01
2026-06-18 09:30:00-04:00,2026-06-18 11:00:00-04:00,short,27.6712,28.2387,1,28.2246,26.5643,-0.57,-2.05,Stop-loss,0.01
2026-06-18 11:15:00-04:00,2026-06-18 14:45:00-04:00,short,28.046,27.929,1,28.8065,26.7784,0.12,0.42,Buy signal (close short),0.01
2026-06-18 14:45:00-04:00,2026-06-18 15:30:00-04:00,long,27.929,28.056,1,27.6126,28.4562,0.13,0.45,Sell signal,0.01
2026-06-18 15:30:00-04:00,2026-06-22 09:30:00-04:00,short,28.056,28.3905,1,28.3763,27.5221,-0.33,-1.19,Stop-loss,0.01
2026-06-22 10:15:00-04:00,2026-06-23 09:30:00-04:00,short,29.0553,28.0193,1,29.6852,28.0053,1.04,3.57,Take-profit,0.01
2026-06-23 09:30:00-04:00,2026-06-23 10:00:00-04:00,short,28.3658,28.9377,1,28.9232,27.4369,-0.57,-2.02,Stop-loss,0.01
2026-06-23 10:00:00-04:00,2026-06-23 11:00:00-04:00,short,29.3646,28.3184,1,30.0009,28.3042,1.05,3.56,Take-profit,0.01
2026-06-23 11:00:00-04:00,2026-06-23 13:30:00-04:00,short,28.3358,29.0942,1,29.0797,27.0961,-0.76,-2.68,Stop-loss,0.01
2026-06-23 13:30:00-04:00,2026-06-24 09:30:00-04:00,short,28.9255,28.0802,1,29.4411,28.0662,0.85,2.92,Take-profit,0.01
2026-06-24 09:30:00-04:00,2026-06-24 09:45:00-04:00,short,27.5062,28.0622,1,28.0482,26.603,-0.56,-2.02,Stop-loss,0.01
2026-06-24 09:45:00-04:00,2026-06-24 13:30:00-04:00,short,28.1009,27.071,1,28.727,27.0575,1.03,3.66,Take-profit,0.01
2026-06-24 13:30:00-04:00,2026-06-24 14:30:00-04:00,short,27.0665,27.641,1,27.6272,26.1319,-0.57,-2.12,Stop-loss,0.01
2026-06-24 14:30:00-04:00,2026-06-25 09:30:00-04:00,short,27.0865,27.644,1,27.6302,26.1803,-0.56,-2.06,Stop-loss,0.01
2026-06-25 09:30:00-04:00,2026-06-25 12:00:00-04:00,short,26.3668,27.1227,1,27.1091,25.1297,-0.76,-2.87,Stop-loss,0.01
2026-06-25 12:00:00-04:00,2026-06-26 09:45:00-04:00,short,27.1764,28.2067,1,28.1926,25.4827,-1.03,-3.79,Stop-loss,0.01
