entry_date,exit_date,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission
2026-08-21 14:30:00-04:00,2026-08-24 09:30:00-04:00,1.5258,1.5,17,1.5008,1.5632,-0.52,-1.69,Stop-loss,0.17
2026-08-24 09:30:00-04:00,2026-08-25 09:30:00-04:00,1.5148,1.5557,17,1.4869,1.5565,0.61,2.7,Take-profit,0.17
2026-08-25 14:00:00-04:00,2026-08-26 11:30:00-04:00,1.7059,1.6417,15,1.6425,1.8008,-1.04,-3.76,Stop-loss,0.15
2026-08-26 11:30:00-04:00,2026-08-28 11:15:00-04:00,1.6508,1.6842,15,1.5897,1.7425,0.43,2.02,End of backtest,0.15
