entry_date,exit_date,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission
2025-09-23 00:00:00-04:00,2025-10-14 00:00:00-04:00,17.7189,22.2688,1,15.1849,22.2799,4.54,25.68,Take-profit,0.01
2025-10-17 00:00:00-04:00,2025-11-07 00:00:00-05:00,19.5798,15.0259,1,15.0334,27.7634,-4.56,-23.26,Stop-loss,0.01
2025-11-07 00:00:00-05:00,2025-11-13 00:00:00-05:00,15.8779,12.9,1,12.9065,21.2265,-2.98,-18.75,Stop-loss,0.01
2025-11-13 00:00:00-05:00,2025-11-21 00:00:00-05:00,12.7864,9.7761,1,9.781,18.196,-3.02,-23.54,Stop-loss,0.01
2025-11-21 00:00:00-05:00,2026-02-05 00:00:00-05:00,10.075,7.1929,2,7.1965,15.2565,-5.77,-28.61,Stop-loss,0.02
2026-02-05 00:00:00-05:00,2026-04-14 00:00:00-04:00,6.7334,10.7008,2,4.5262,10.7062,7.92,58.92,Take-profit,0.02
2026-04-14 00:00:00-04:00,2026-05-22 00:00:00-04:00,10.4952,13.8537,2,8.6256,13.8606,6.71,32.0,Take-profit,0.02
2026-05-29 00:00:00-04:00,2026-06-05 00:00:00-04:00,14.3872,11.8955,2,11.9015,18.8615,-4.99,-17.32,Stop-loss,0.02
2026-06-05 00:00:00-04:00,2026-08-07 00:00:00-04:00,12.3262,9.8338,2,9.8387,16.8037,-4.99,-20.22,Stop-loss,0.02
2026-08-07 00:00:00-04:00,2026-08-28 00:00:00-04:00,10.095,11.0541,2,7.5397,14.6947,1.91,9.5,End of backtest,0.02
