entry_date,exit_date,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission
2025-08-13 00:00:00-04:00,2025-08-20 00:00:00-04:00,9.6448,8.8688,2,8.8732,12.2934,-1.56,-8.05,Stop-loss,0.02
2025-08-29 00:00:00-04:00,2025-10-01 00:00:00-04:00,9.2046,8.464,2,8.4682,11.1589,-1.49,-8.05,Stop-loss,0.02
2025-10-07 00:00:00-04:00,2025-10-10 00:00:00-04:00,9.3847,8.6296,2,8.6339,12.6761,-1.52,-8.05,Stop-loss,0.02
2025-10-10 00:00:00-04:00,2025-10-20 00:00:00-04:00,8.4042,7.728,2,7.7319,11.9335,-1.36,-8.05,Stop-loss,0.02
2025-10-28 00:00:00-04:00,2025-11-05 00:00:00-05:00,7.2036,6.624,3,6.6273,10.5252,-1.75,-8.05,Stop-loss,0.03
2025-11-05 00:00:00-05:00,2025-11-06 00:00:00-05:00,6.7334,6.1916,2,6.1947,9.4668,-1.09,-8.05,Stop-loss,0.02
2025-11-06 00:00:00-05:00,2025-11-07 00:00:00-05:00,6.2231,5.7224,3,5.7253,9.0594,-1.52,-8.05,Stop-loss,0.03
2025-11-07 00:00:00-05:00,2025-11-20 00:00:00-05:00,6.013,5.5292,2,5.532,8.5899,-0.98,-8.05,Stop-loss,0.02
2025-11-20 00:00:00-05:00,2025-12-03 00:00:00-05:00,5.2726,6.3968,3,4.8508,7.6068,3.36,21.32,Sell signal,0.03
2025-12-19 00:00:00-05:00,2025-12-29 00:00:00-05:00,6.1531,5.658,3,5.6608,8.0039,-1.5,-8.05,Stop-loss,0.03
2025-12-31 00:00:00-05:00,2026-01-08 00:00:00-05:00,5.5228,7.0923,3,5.0809,7.0958,4.69,28.42,Take-profit,0.03
2026-01-20 00:00:00-05:00,2026-03-04 00:00:00-05:00,7.1035,6.532,3,6.5353,9.232,-1.73,-8.04,Stop-loss,0.03
2026-03-24 00:00:00-04:00,2026-04-23 00:00:00-04:00,6.6633,6.9965,3,6.1303,8.8625,0.98,5.0,Sell signal,0.03
2026-05-01 00:00:00-04:00,2026-06-01 00:00:00-04:00,5.1025,6.9826,4,4.6943,6.9861,7.5,36.85,Take-profit,0.04
2026-07-09 00:00:00-04:00,2026-07-22 00:00:00-04:00,5.3527,4.922,5,4.9245,7.0048,-2.18,-8.05,Stop-loss,0.05
2026-07-22 00:00:00-04:00,2026-08-07 00:00:00-04:00,4.8624,6.0391,5,4.4734,6.0421,5.86,24.2,Take-profit,0.05
