entry_date,exit_date,type,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission
2026-06-17 13:45:00-04:00,2026-06-17 15:15:00-04:00,short,2.8436,2.7312,9,2.9004,2.7298,1.01,3.95,Take-profit,0.09
2026-06-18 10:45:00-04:00,2026-06-18 15:30:00-04:00,short,2.7386,2.8401,10,2.8387,2.5719,-1.02,-3.71,Stop-loss,0.1
2026-06-18 15:30:00-04:00,2026-06-18 15:45:00-04:00,short,2.8086,2.8534,9,2.852,2.7363,-0.4,-1.6,Stop-loss,0.09
2026-06-18 15:45:00-04:00,2026-06-22 09:30:00-04:00,short,2.8586,2.7841,9,2.9041,2.7827,0.67,2.61,Take-profit,0.09
2026-06-22 09:30:00-04:00,2026-06-22 10:30:00-04:00,short,2.8636,2.7766,9,2.9166,2.7752,0.78,3.04,Take-profit,0.09
2026-06-22 10:30:00-04:00,2026-06-23 09:30:00-04:00,short,2.7836,2.6655,9,2.8553,2.6642,1.06,4.24,Take-profit,0.09
2026-06-23 09:30:00-04:00,2026-06-23 09:45:00-04:00,short,2.7287,2.7832,10,2.7818,2.6403,-0.54,-2.0,Stop-loss,0.1
2026-06-23 10:00:00-04:00,2026-06-23 15:30:00-04:00,short,2.808,2.7121,9,2.8664,2.7107,0.86,3.42,Take-profit,0.09
2026-06-23 15:30:00-04:00,2026-06-24 09:30:00-04:00,short,2.7136,2.6421,10,2.7573,2.6408,0.71,2.63,Take-profit,0.1
2026-06-24 09:30:00-04:00,2026-06-24 09:45:00-04:00,short,2.6287,2.6796,11,2.6783,2.5461,-0.56,-1.94,Stop-loss,0.11
2026-06-24 09:45:00-04:00,2026-06-24 10:15:00-04:00,short,2.6737,2.587,10,2.7265,2.5857,0.87,3.24,Take-profit,0.1
2026-06-24 10:15:00-04:00,2026-06-25 09:45:00-04:00,short,2.6587,2.5532,10,2.7227,2.5519,1.06,3.97,Take-profit,0.1
2026-06-25 09:45:00-04:00,2026-06-25 10:00:00-04:00,short,2.5037,2.5655,11,2.5642,2.403,-0.68,-2.47,Stop-loss,0.11
2026-06-25 10:00:00-04:00,2026-06-25 12:00:00-04:00,short,2.5387,2.6032,11,2.6019,2.4335,-0.71,-2.54,Stop-loss,0.11
2026-06-25 13:00:00-04:00,2026-06-26 09:30:00-04:00,short,2.6544,2.5494,10,2.7181,2.5481,1.05,3.96,Take-profit,0.1
2026-06-26 10:00:00-04:00,2026-06-26 10:15:00-04:00,short,2.5237,2.5797,11,2.5784,2.4327,-0.62,-2.22,Stop-loss,0.11
2026-06-26 10:15:00-04:00,2026-06-29 09:30:00-04:00,short,2.5637,2.6239,11,2.6226,2.4655,-0.66,-2.35,Stop-loss,0.11
2026-06-30 10:15:00-04:00,2026-07-01 09:30:00-04:00,short,2.7372,2.638,10,2.7976,2.6367,0.99,3.62,Take-profit,0.1
2026-07-01 09:30:00-04:00,2026-07-01 12:30:00-04:00,short,2.7436,2.8082,10,2.8068,2.6383,-0.65,-2.35,Stop-loss,0.1
2026-07-01 12:30:00-04:00,2026-07-01 15:45:00-04:00,short,2.7836,2.6501,10,2.8645,2.6488,1.33,4.8,Take-profit,0.1
2026-07-01 15:45:00-04:00,2026-07-02 09:30:00-04:00,short,2.6437,2.691,11,2.6897,2.5669,-0.52,-1.79,Stop-loss,0.11
2026-07-02 09:30:00-04:00,2026-07-02 09:45:00-04:00,short,2.7236,2.7749,10,2.7735,2.6406,-0.51,-1.88,Stop-loss,0.1
2026-07-02 09:45:00-04:00,2026-07-02 10:30:00-04:00,short,2.7636,2.6756,10,2.8172,2.6743,0.88,3.18,Take-profit,0.1
2026-07-02 14:15:00-04:00,2026-07-02 15:15:00-04:00,short,2.5787,2.6314,11,2.6301,2.493,-0.58,-2.04,Stop-loss,0.11
