entry_date,exit_date,type,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission
2026-08-28 10:45:00-04:00,2026-08-28 12:15:00-04:00,long,0.5958,0.5836,45,0.5839,0.6196,-0.55,-2.05,Stop-loss,0.45
2026-08-28 12:15:00-04:00,2026-08-31 09:30:00-04:00,long,0.5805,0.6034,44,0.5689,0.6037,1.01,3.94,Take-profit,0.44
2026-08-31 09:30:00-04:00,2026-08-31 09:45:00-04:00,short,0.6248,0.6373,42,0.637,0.6044,-0.53,-2.0,Stop-loss,0.42
2026-08-31 09:45:00-04:00,2026-08-31 10:15:00-04:00,short,0.629,0.6422,40,0.6419,0.6074,-0.53,-2.1,Stop-loss,0.4
2026-08-31 10:15:00-04:00,2026-08-31 10:30:00-04:00,short,0.6596,0.6789,37,0.6786,0.6278,-0.72,-2.93,Stop-loss,0.37
2026-08-31 10:30:00-04:00,2026-08-31 10:45:00-04:00,short,0.6722,0.6933,35,0.693,0.6374,-0.74,-3.15,Stop-loss,0.35
2026-08-31 10:45:00-04:00,2026-08-31 11:00:00-04:00,short,0.7113,0.7368,32,0.7364,0.6696,-0.81,-3.58,Stop-loss,0.32
2026-08-31 11:00:00-04:00,2026-08-31 13:45:00-04:00,short,0.7199,0.7517,30,0.7513,0.6677,-0.95,-4.41,Stop-loss,0.3
2026-08-31 13:45:00-04:00,2026-08-31 15:45:00-04:00,short,0.7967,0.8518,26,0.8514,0.7055,-1.43,-6.92,Stop-loss,0.26
2026-08-31 15:45:00-04:00,2026-09-01 10:00:00-04:00,short,0.8744,0.9319,22,0.9314,0.7792,-1.26,-6.57,Stop-loss,0.22
2026-09-01 10:00:00-04:00,2026-09-01 10:45:00-04:00,short,1.5142,1.3019,11,1.6421,1.3012,2.34,14.02,Take-profit,0.11
2026-09-01 10:45:00-04:00,2026-09-02 10:45:00-04:00,short,1.3394,1.2756,14,1.5143,1.048,0.82,4.76,End of backtest,0.14
