entry_date,exit_date,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission
2025-09-18 00:00:00-04:00,2025-10-02 00:00:00-04:00,120.8384,114.9885,41,115.046,129.527,-240.05,-4.84,Stop-loss,0.41
2025-10-02 00:00:00-04:00,2025-10-10 00:00:00-04:00,116.3111,124.1855,42,111.0201,124.2476,330.51,6.77,Take-profit,0.42
2025-10-10 00:00:00-04:00,2025-10-22 00:00:00-04:00,122.069,116.4837,40,116.542,130.3595,-223.61,-4.58,Stop-loss,0.4
2025-10-23 00:00:00-04:00,2025-11-21 00:00:00-05:00,111.4147,104.4101,44,104.4623,121.8433,-308.42,-6.29,Stop-loss,0.44
2025-11-24 00:00:00-05:00,2025-12-05 00:00:00-05:00,107.0235,99.9411,46,99.9911,117.5721,-326.02,-6.62,Stop-loss,0.46
2025-12-10 00:00:00-05:00,2026-01-21 00:00:00-05:00,92.7564,85.0281,53,85.0706,104.2849,-409.87,-8.33,Stop-loss,0.53
2026-01-21 00:00:00-05:00,2026-02-03 00:00:00-05:00,85.4027,80.778,57,80.8184,92.2791,-263.89,-5.42,Stop-loss,0.57
2026-02-03 00:00:00-05:00,2026-02-27 00:00:00-05:00,79.98,87.4106,61,74.9971,87.4543,452.96,9.29,Take-profit,0.61
2026-03-11 00:00:00-04:00,2026-04-14 00:00:00-04:00,94.9374,105.8859,52,87.6032,105.9389,569.06,11.53,Take-profit,0.52
2026-04-20 00:00:00-04:00,2026-05-05 00:00:00-04:00,94.8774,87.5493,52,87.5931,105.8038,-381.32,-7.72,Stop-loss,0.52
2026-05-05 00:00:00-04:00,2026-06-03 00:00:00-04:00,87.9339,81.5903,56,81.6311,97.3882,-355.52,-7.21,Stop-loss,0.56
2026-06-03 00:00:00-04:00,2026-06-17 00:00:00-04:00,81.5608,77.2122,60,77.2508,88.0258,-261.22,-5.33,Stop-loss,0.6
2026-06-17 00:00:00-04:00,2026-06-22 00:00:00-04:00,76.9985,72.8178,64,72.8542,83.2149,-267.89,-5.43,Stop-loss,0.64
2026-06-22 00:00:00-04:00,2026-07-17 00:00:00-04:00,72.9164,68.0567,67,68.0907,80.155,-325.94,-6.66,Stop-loss,0.67
2026-07-20 00:00:00-04:00,2026-08-10 00:00:00-04:00,67.6338,76.1264,72,61.9467,76.1645,611.11,12.56,Take-profit,0.72
