entry_date,exit_date,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission
2026-08-24 09:42:00-04:00,2026-08-24 10:35:00-04:00,1.5158,1.5242,17,1.4769,1.7583,0.06,0.56,Sell signal,0.17
2026-08-24 11:10:00-04:00,2026-08-24 11:14:00-04:00,1.5208,1.5092,17,1.4672,1.7641,-0.28,-0.76,Sell signal,0.17
2026-08-24 12:16:00-04:00,2026-08-24 12:24:00-04:00,1.5158,1.5092,17,1.4819,1.7583,-0.2,-0.43,Sell signal,0.17
2026-08-24 13:47:00-04:00,2026-08-24 13:52:00-04:00,1.5308,1.5142,17,1.5076,1.7757,-0.37,-1.08,Sell signal,0.17
2026-08-24 14:22:00-04:00,2026-08-24 15:21:00-04:00,1.5358,1.5292,16,1.4896,1.7815,-0.19,-0.43,Sell signal,0.16
2026-08-25 09:30:00-04:00,2026-08-25 09:54:00-04:00,1.5658,1.6192,16,1.505,1.8163,0.77,3.41,Sell signal,0.16
2026-08-25 12:58:00-04:00,2026-08-25 13:54:00-04:00,1.6808,1.6901,15,1.6462,1.9498,0.06,0.55,Sell signal,0.15
2026-08-25 15:26:00-04:00,2026-08-25 15:51:00-04:00,1.7159,1.6992,15,1.6697,1.9904,-0.33,-0.98,Sell signal,0.15
2026-08-27 10:15:00-04:00,2026-08-27 10:31:00-04:00,1.6808,1.6498,15,1.6506,1.9498,-0.54,-1.85,Stop-loss,0.15
2026-08-27 12:02:00-04:00,2026-08-27 13:03:00-04:00,1.6558,1.6592,15,1.6283,1.9208,-0.02,0.2,Sell signal,0.15
2026-08-27 14:46:00-04:00,2026-08-27 15:04:00-04:00,1.6658,1.6592,15,1.6127,1.9324,-0.17,-0.4,Sell signal,0.15
