entry_date,exit_date,type,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission,funded_by_unsettled
2026-08-12 10:00:00-04:00,2026-08-12 12:30:00-04:00,long,0.6044,0.5735,34,0.5737999701499938,0.6588,-3.05,-5.11,Stop-loss,2.0,False
2026-08-12 15:30:00-04:00,2026-08-13 09:30:00-04:00,long,0.5754,0.5915,25,0.5962928703853062,0.5937,-1.6,2.8,Stop-loss (gap),2.0,True
2026-08-14 14:00:00-04:00,2026-08-17 09:30:00-04:00,long,0.6004,0.5897,28,0.5936642970357623,0.6233,-2.3,-1.78,Stop-loss (gap),2.0,False
2026-08-17 09:30:00-04:00,2026-08-17 10:15:00-04:00,long,0.5805,0.5844,20,0.5868714494364602,0.6035,-1.92,0.67,Stop-loss (gap),2.0,True
2026-08-17 10:15:00-04:00,2026-08-17 11:45:00-04:00,long,0.6059,0.5972,18,0.5851,0.6371,-2.16,-1.44,Sell signal,2.0,True
2026-08-17 12:00:00-04:00,2026-08-17 15:30:00-04:00,long,0.6019,0.6012,14,0.5872499772480556,0.6431,-2.01,-0.12,Sell signal,2.0,True
2026-08-18 14:30:00-04:00,2026-08-18 15:00:00-04:00,long,0.5881,0.5893,11,0.577564320393971,0.6088,-1.99,0.2,Sell signal,2.0,False
2026-08-20 10:30:00-04:00,2026-08-20 13:00:00-04:00,long,0.6069,0.6047,10,0.587792877640043,0.642,-2.02,-0.36,Sell signal,2.0,False
2026-08-21 10:00:00-04:00,2026-08-21 10:15:00-04:00,long,0.6181,0.6247,9,0.6015143351895469,0.6503,-1.94,1.07,Sell signal,2.0,False
2026-08-21 13:45:00-04:00,2026-08-21 15:15:00-04:00,long,0.6162,0.6166,7,0.6102642927850995,0.6392,-2.0,0.06,Sell signal,2.0,False
2026-08-24 10:00:00-04:00,2026-08-24 10:45:00-04:00,long,0.6146,0.6205,5,0.6009786086423057,0.6421,-1.97,0.96,Sell signal,2.0,True
2026-08-24 12:00:00-04:00,2026-08-24 14:15:00-04:00,long,0.6104,0.6073,5,0.6006357456956591,0.6406,-2.02,-0.51,Sell signal,2.0,True
2026-08-24 14:30:00-04:00,2026-08-25 09:30:00-04:00,long,0.6053,0.6049,5,0.5992785607065473,0.6196,-2.0,-0.07,Sell signal,2.0,True
2026-08-26 10:00:00-04:00,2026-08-26 11:30:00-04:00,long,0.6016,0.582,2,0.5823142911706652,0.6326,-2.04,-3.25,Stop-loss,2.0,False
