entry_date,exit_date,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission
2025-11-18 00:00:00-05:00,2025-11-19 00:00:00-05:00,2.3812,2.1896,11,2.1907,3.4692,-2.16,-8.05,Stop-loss,0.11
2025-11-21 00:00:00-05:00,2025-12-11 00:00:00-05:00,2.091,2.4588,11,1.9238,3.163,3.99,17.59,Sell signal,0.11
2026-01-20 00:00:00-05:00,2026-01-26 00:00:00-05:00,2.2311,2.0516,12,2.0526,2.8894,-2.21,-8.05,Stop-loss,0.12
2026-02-05 00:00:00-05:00,2026-02-25 00:00:00-05:00,1.5058,1.8091,17,1.3853,2.2646,5.07,20.14,Sell signal,0.17
2026-04-29 00:00:00-04:00,2026-05-06 00:00:00-04:00,1.4507,1.927,21,1.3347,1.928,9.9,32.83,Take-profit,0.21
2026-05-06 00:00:00-04:00,2026-05-07 00:00:00-04:00,1.931,1.7756,20,1.7765,2.4276,-3.21,-8.05,Stop-loss,0.2
2026-05-18 00:00:00-04:00,2026-07-13 00:00:00-04:00,1.7009,1.564,21,1.5648,2.5623,-2.98,-8.05,Stop-loss,0.21
2026-07-13 00:00:00-04:00,2026-07-16 00:00:00-04:00,1.6408,1.5088,20,1.5096,2.3801,-2.74,-8.04,Stop-loss,0.2
2026-07-16 00:00:00-04:00,2026-07-27 00:00:00-04:00,1.4707,1.3524,21,1.3531,2.1264,-2.59,-8.04,Stop-loss,0.21
2026-07-27 00:00:00-04:00,2026-07-29 00:00:00-04:00,1.3507,1.242,21,1.2426,1.8955,-2.39,-8.05,Stop-loss,0.21
2026-07-29 00:00:00-04:00,2026-08-28 00:00:00-04:00,1.2106,1.4443,22,1.1138,1.7619,5.03,19.3,End of backtest,0.22
