entry_date,exit_date,type,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission
2026-08-31 09:30:00-04:00,2026-08-31 10:15:00-04:00,long,0.6254,0.6501,43,0.6129,0.6504,1.06,3.95,Take-profit,0.43
2026-08-31 10:15:00-04:00,2026-08-31 10:45:00-04:00,long,0.6602,0.6863,41,0.647,0.6866,1.07,3.95,Take-profit,0.41
2026-08-31 10:45:00-04:00,2026-08-31 11:00:00-04:00,long,0.7121,0.7401,39,0.6978,0.7405,1.09,3.94,Take-profit,0.39
2026-08-31 11:00:00-04:00,2026-08-31 11:15:00-04:00,long,0.7207,0.7058,39,0.7062,0.7495,-0.58,-2.06,Stop-loss,0.39
2026-08-31 11:15:00-04:00,2026-08-31 11:30:00-04:00,long,0.7429,0.7276,37,0.728,0.7726,-0.56,-2.05,Stop-loss,0.37
2026-08-31 11:30:00-04:00,2026-08-31 11:45:00-04:00,long,0.7201,0.7053,37,0.7057,0.7489,-0.55,-2.05,Stop-loss,0.37
2026-08-31 11:45:00-04:00,2026-08-31 12:00:00-04:00,long,0.7087,0.6942,37,0.6945,0.737,-0.54,-2.05,Stop-loss,0.37
2026-08-31 12:00:00-04:00,2026-08-31 12:15:00-04:00,long,0.7354,0.7203,34,0.7207,0.7648,-0.51,-2.05,Stop-loss,0.34
2026-08-31 12:15:00-04:00,2026-08-31 12:30:00-04:00,long,0.7145,0.6998,34,0.7002,0.743,-0.5,-2.05,Stop-loss,0.34
2026-08-31 12:30:00-04:00,2026-08-31 13:45:00-04:00,long,0.7085,0.7364,33,0.6943,0.7368,0.92,3.94,Take-profit,0.33
2026-08-31 13:45:00-04:00,2026-09-01 10:00:00-04:00,long,0.7975,0.9065,30,0.7245,0.907,3.27,13.67,Take-profit,0.3
2026-09-01 10:00:00-04:00,2026-09-01 10:45:00-04:00,long,1.5158,1.3446,17,1.3453,1.7714,-2.91,-11.29,Stop-loss,0.17
2026-09-01 10:45:00-04:00,2026-09-02 14:30:00-04:00,long,1.3408,1.6897,18,1.1076,1.6905,6.28,26.02,Take-profit,0.18
2026-09-02 14:30:00-04:00,2026-09-03 09:30:00-04:00,long,1.6898,1.5397,17,1.5405,1.9138,-2.55,-8.88,Stop-loss,0.17
2026-09-03 09:30:00-04:00,2026-09-03 15:45:00-04:00,long,1.5758,1.3679,17,1.3686,1.8865,-3.53,-13.19,Stop-loss,0.17
2026-09-03 15:45:00-04:00,2026-09-04 09:30:00-04:00,long,1.3907,1.5099,17,1.3107,1.5107,2.03,8.57,Take-profit,0.17
2026-09-04 09:30:00-04:00,2026-09-04 10:00:00-04:00,long,1.5918,1.7495,16,1.4861,1.7504,2.52,9.91,Take-profit,0.16
2026-09-04 10:00:00-04:00,2026-09-04 11:15:00-04:00,long,1.8818,1.7253,14,1.7262,2.1153,-2.19,-8.31,Stop-loss,0.14
2026-09-04 11:15:00-04:00,2026-09-04 15:45:00-04:00,long,1.731,1.6942,14,1.4996,2.078,-0.59,-2.13,End of backtest,0.14
