entry_date,exit_date,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission
2025-09-23 00:00:00-04:00,2025-10-03 00:00:00-04:00,17.0785,20.1586,1,14.5034,20.1687,3.08,18.04,Take-profit,0.01
2025-10-16 00:00:00-04:00,2025-11-13 00:00:00-05:00,19.5598,15.0496,1,15.0571,24.963,-4.52,-23.06,Stop-loss,0.01
2025-11-13 00:00:00-05:00,2026-01-16 00:00:00-05:00,13.8869,18.8777,1,9.7202,18.8871,4.99,35.94,Take-profit,0.01
2026-01-20 00:00:00-05:00,2026-01-30 00:00:00-05:00,18.1091,15.3247,1,15.3324,21.441,-2.79,-15.38,Stop-loss,0.01
2026-01-30 00:00:00-05:00,2026-02-05 00:00:00-05:00,15.4777,11.9376,1,11.9436,19.7187,-3.55,-22.87,Stop-loss,0.01
2026-02-05 00:00:00-05:00,2026-02-20 00:00:00-05:00,12.066,16.8225,2,8.0953,16.8309,9.5,39.42,Take-profit,0.02
2026-02-20 00:00:00-05:00,2026-03-30 00:00:00-04:00,15.6878,12.0193,2,12.0253,20.0828,-7.35,-23.38,Stop-loss,0.02
2026-03-30 00:00:00-04:00,2026-04-08 00:00:00-04:00,11.8359,15.0925,2,9.1157,15.1001,6.5,27.52,Take-profit,0.02
2026-04-08 00:00:00-04:00,2026-05-05 00:00:00-04:00,16.1181,19.5666,1,13.2361,19.5764,3.44,21.4,Take-profit,0.01
2026-05-18 00:00:00-04:00,2026-05-28 00:00:00-04:00,23.1916,28.0194,1,19.1568,28.0334,4.82,20.82,Take-profit,0.01
2026-06-04 00:00:00-04:00,2026-07-02 00:00:00-04:00,27.4837,23.4077,1,23.4194,32.3609,-4.08,-14.83,Stop-loss,0.01
2026-07-02 00:00:00-04:00,2026-08-28 00:00:00-04:00,22.1211,19.5402,1,16.5862,28.7628,-2.59,-11.67,End of backtest,0.01
