entry_date,exit_date,type,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission
2026-07-17 15:30:00-04:00,2026-07-20 09:30:00-04:00,long,1.7515,1.7155,15,1.7164,1.8215,-0.54,-2.05,Stop-loss,0.15
2026-07-20 09:30:00-04:00,2026-07-20 10:30:00-04:00,long,1.5358,1.5043,17,1.5051,1.5972,-0.53,-2.05,Stop-loss,0.17
2026-07-20 10:30:00-04:00,2026-07-20 11:30:00-04:00,long,1.5084,1.4775,17,1.4782,1.5687,-0.53,-2.05,Stop-loss,0.17
2026-07-20 11:30:00-04:00,2026-07-20 14:30:00-04:00,long,1.4657,1.5236,17,1.4364,1.5244,0.98,3.95,Take-profit,0.17
2026-07-20 14:30:00-04:00,2026-07-20 15:30:00-04:00,long,1.7509,1.715,14,1.7159,1.8209,-0.5,-2.05,Stop-loss,0.14
2026-07-20 15:30:00-04:00,2026-07-21 09:30:00-04:00,long,1.7509,1.715,14,1.7159,1.8209,-0.5,-2.05,Stop-loss,0.14
2026-07-21 09:30:00-04:00,2026-07-21 11:30:00-04:00,long,1.7159,1.7836,14,1.6815,1.7845,0.95,3.95,Take-profit,0.14
2026-07-21 11:30:00-04:00,2026-07-21 12:30:00-04:00,long,1.7935,1.7567,14,1.7576,1.8652,-0.51,-2.05,Stop-loss,0.14
2026-07-21 12:30:00-04:00,2026-07-21 14:30:00-04:00,long,1.6915,1.6569,14,1.6577,1.7592,-0.48,-2.05,Stop-loss,0.14
2026-07-21 14:30:00-04:00,2026-07-24 09:30:00-04:00,long,1.6608,1.9306,14,1.4803,1.9316,3.78,16.25,Take-profit,0.14
2026-07-24 15:30:00-04:00,2026-08-06 09:30:00-04:00,long,1.8409,1.6204,14,1.6212,2.1705,-3.09,-11.98,Stop-loss,0.14
2026-08-06 09:30:00-04:00,2026-08-12 10:30:00-04:00,long,1.6534,1.9203,14,1.4748,1.9213,3.74,16.14,Take-profit,0.14
2026-08-13 10:30:00-04:00,2026-08-14 12:30:00-04:00,long,1.7209,2.0389,16,1.5082,2.0399,5.09,18.48,Take-profit,0.16
2026-08-18 10:30:00-04:00,2026-08-25 09:30:00-04:00,long,2.2111,1.787,14,1.7879,2.8459,-5.94,-19.18,Stop-loss,0.14
2026-08-27 13:30:00-04:00,2026-08-31 09:30:00-04:00,long,1.8709,2.0379,14,1.7589,2.0389,2.34,8.93,Take-profit,0.14
2026-09-02 10:30:00-04:00,2026-09-03 09:30:00-04:00,long,2.9316,3.8364,9,2.3271,3.8383,8.14,30.86,Take-profit,0.09
2026-09-03 09:30:00-04:00,2026-09-04 15:30:00-04:00,long,3.6918,3.8281,9,3.0848,4.6025,1.18,3.69,End of backtest,0.09
