entry_date,exit_date,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission
2026-08-03 09:30:00-04:00,2026-08-03 09:45:00-04:00,19.8899,20.6752,1,19.4921,20.6855,0.78,3.95,Take-profit,0.01
2026-08-03 09:45:00-04:00,2026-08-03 14:00:00-04:00,20.7154,21.5332,1,20.301,21.544,0.81,3.95,Take-profit,0.01
2026-08-03 14:15:00-04:00,2026-08-04 10:00:00-04:00,21.3907,20.957,1,20.9675,22.096,-0.44,-2.03,Stop-loss,0.01
2026-08-04 10:00:00-04:00,2026-08-04 11:00:00-04:00,21.2106,21.9688,1,20.7491,21.9798,0.75,3.57,Take-profit,0.01
2026-08-04 11:00:00-04:00,2026-08-04 12:00:00-04:00,21.8409,21.939,1,21.3527,22.6546,0.09,0.45,Sell signal,0.01
2026-08-04 14:30:00-04:00,2026-08-04 15:00:00-04:00,21.6508,21.7241,1,21.3326,22.1812,0.07,0.34,Sell signal,0.01
2026-08-04 15:15:00-04:00,2026-08-04 15:30:00-04:00,21.6008,21.3743,1,21.2933,22.1133,-0.23,-1.05,Sell signal,0.01
2026-08-10 09:30:00-04:00,2026-08-10 11:30:00-04:00,19.8188,19.5003,1,19.5101,20.3333,-0.32,-1.61,Stop-loss,0.01
2026-08-10 11:30:00-04:00,2026-08-10 14:00:00-04:00,19.5698,19.1512,1,19.1608,20.2513,-0.42,-2.14,Stop-loss,0.01
2026-08-10 14:00:00-04:00,2026-08-10 15:15:00-04:00,19.1746,19.5755,1,18.9282,19.5853,0.4,2.09,Take-profit,0.01
2026-08-10 15:30:00-04:00,2026-08-11 09:30:00-04:00,19.5748,19.9844,1,19.323,19.9944,0.4,2.09,Take-profit,0.01
2026-08-11 10:30:00-04:00,2026-08-12 09:30:00-04:00,20.1801,21.7305,1,19.2433,21.7414,1.55,7.68,Take-profit,0.01
2026-08-14 10:00:00-04:00,2026-08-14 10:15:00-04:00,19.0195,18.9805,1,18.6469,19.6406,-0.04,-0.21,Sell signal,0.01
2026-08-14 10:30:00-04:00,2026-08-14 11:15:00-04:00,18.8761,18.4889,1,18.4981,19.5061,-0.39,-2.05,Stop-loss,0.01
2026-08-14 11:15:00-04:00,2026-08-14 13:00:00-04:00,18.4742,19.1126,1,18.0855,19.1222,0.63,3.46,Take-profit,0.01
2026-08-14 13:00:00-04:00,2026-08-14 15:00:00-04:00,19.1768,19.0305,1,18.8626,19.7004,-0.15,-0.76,Sell signal,0.01
2026-08-18 11:45:00-04:00,2026-08-18 13:45:00-04:00,19.2095,18.8905,1,18.7662,19.9484,-0.32,-1.66,Sell signal,0.01
2026-08-19 09:30:00-04:00,2026-08-19 09:45:00-04:00,18.4678,18.1545,1,18.1636,18.9748,-0.32,-1.7,Stop-loss,0.01
2026-08-19 09:45:00-04:00,2026-08-19 10:00:00-04:00,18.2681,17.9187,1,17.9277,18.8356,-0.35,-1.91,Stop-loss,0.01
2026-08-19 10:00:00-04:00,2026-08-19 10:30:00-04:00,17.919,18.516,1,17.5551,18.5253,0.59,3.33,Take-profit,0.01
2026-08-19 10:30:00-04:00,2026-08-19 11:00:00-04:00,18.5993,19.2987,1,18.1738,19.3084,0.69,3.76,Take-profit,0.01
2026-08-19 11:00:00-04:00,2026-08-19 12:45:00-04:00,19.3897,19.4803,1,18.8705,20.255,0.09,0.47,Sell signal,0.01
2026-08-19 13:00:00-04:00,2026-08-19 13:45:00-04:00,19.1346,19.1604,1,18.6017,20.0227,0.02,0.13,Sell signal,0.01
2026-08-19 14:00:00-04:00,2026-08-19 15:45:00-04:00,19.0195,19.3853,1,18.5933,19.7298,0.36,1.92,Sell signal,0.01
2026-08-20 09:30:00-04:00,2026-08-20 09:45:00-04:00,20.4402,20.0333,1,20.0433,21.1017,-0.41,-1.99,Stop-loss,0.01
2026-08-20 09:45:00-04:00,2026-08-20 10:15:00-04:00,20.0301,20.3698,1,19.5743,20.7898,0.33,1.7,Sell signal,0.01
2026-08-21 10:30:00-04:00,2026-08-24 10:00:00-04:00,19.955,20.4398,1,19.2805,21.0791,0.48,2.43,Sell signal,0.01
2026-08-24 10:30:00-04:00,2026-08-24 11:15:00-04:00,20.4141,20.7396,1,19.9406,21.2033,0.32,1.59,Sell signal,0.01
2026-08-24 11:30:00-04:00,2026-08-24 12:15:00-04:00,20.4852,20.6397,1,19.9555,21.3682,0.15,0.75,Sell signal,0.01
2026-08-24 12:30:00-04:00,2026-08-24 15:30:00-04:00,20.3802,19.8202,1,19.8301,21.2971,-0.57,-2.75,Stop-loss,0.01
2026-08-24 15:30:00-04:00,2026-08-25 09:30:00-04:00,19.8999,19.6089,1,19.6187,20.3687,-0.3,-1.46,Stop-loss,0.01
2026-08-25 09:30:00-04:00,2026-08-25 09:45:00-04:00,20.04,20.3998,1,19.7154,20.5811,0.35,1.8,Sell signal,0.01
2026-08-26 11:30:00-04:00,2026-08-26 12:30:00-04:00,20.7003,20.5197,1,20.3116,21.3483,-0.19,-0.87,Sell signal,0.01
2026-08-26 12:45:00-04:00,2026-08-26 13:15:00-04:00,20.6303,20.7996,1,20.2644,21.2402,0.16,0.82,Sell signal,0.01
2026-08-26 13:30:00-04:00,2026-08-26 13:45:00-04:00,20.7304,20.7196,1,20.4618,21.1779,-0.02,-0.05,Sell signal,0.01
