entry_date,exit_date,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission
2025-09-23 00:00:00-04:00,2025-10-10 00:00:00-04:00,17.7189,21.2558,1,15.1849,21.2664,3.53,19.96,Take-profit,0.01
2025-10-10 00:00:00-04:00,2025-11-11 00:00:00-05:00,18.6593,14.6877,1,14.695,24.2093,-3.98,-21.29,Stop-loss,0.01
2025-11-11 00:00:00-05:00,2025-11-17 00:00:00-05:00,14.6373,11.8225,1,11.8284,18.5698,-2.82,-19.23,Stop-loss,0.01
2025-11-17 00:00:00-05:00,2026-02-03 00:00:00-05:00,11.5158,8.6061,2,8.6104,15.5833,-5.83,-25.27,Stop-loss,0.02
2026-02-03 00:00:00-05:00,2026-02-05 00:00:00-05:00,9.0545,7.1277,2,7.1313,11.747,-3.86,-21.28,Stop-loss,0.02
2026-02-05 00:00:00-05:00,2026-02-27 00:00:00-05:00,6.7334,9.8185,2,4.5262,9.8234,6.16,45.82,Take-profit,0.02
2026-02-27 00:00:00-05:00,2026-04-16 00:00:00-04:00,8.9445,11.2814,2,7.2713,11.287,4.66,26.13,Take-profit,0.02
2026-04-17 00:00:00-04:00,2026-05-26 00:00:00-04:00,11.6058,14.1887,2,9.7558,14.1958,5.16,22.26,Take-profit,0.02
2026-05-29 00:00:00-04:00,2026-06-05 00:00:00-04:00,14.3872,11.8955,2,11.9015,17.8672,-4.99,-17.32,Stop-loss,0.02
2026-06-05 00:00:00-04:00,2026-06-22 00:00:00-04:00,12.3262,15.8008,2,9.8387,15.8087,6.94,28.19,Take-profit,0.02
2026-06-22 00:00:00-04:00,2026-07-07 00:00:00-04:00,14.8574,11.8105,2,11.8164,19.1149,-6.1,-20.51,Stop-loss,0.02
2026-07-07 00:00:00-04:00,2026-08-28 00:00:00-04:00,12.056,11.0541,2,8.6346,16.846,-2.01,-8.31,End of backtest,0.02
