entry_date,exit_date,type,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission
2026-08-28 11:00:00-04:00,2026-08-31 09:30:00-04:00,short,19.4704,18.7008,1,19.8598,18.6915,0.77,3.95,Take-profit,0.01
2026-08-31 09:30:00-04:00,2026-08-31 13:45:00-04:00,short,18.3998,18.6661,1,18.6568,17.9715,-0.27,-1.45,Stop-loss,0.01
2026-08-31 13:45:00-04:00,2026-08-31 15:45:00-04:00,short,18.7006,18.8867,1,18.8773,18.4061,-0.19,-1.0,Stop-loss,0.01
2026-08-31 15:45:00-04:00,2026-09-01 09:30:00-04:00,short,18.9805,18.684,1,19.164,18.6747,0.3,1.56,Take-profit,0.01
2026-09-01 10:45:00-04:00,2026-09-02 09:30:00-04:00,short,18.1318,17.5785,1,18.4691,17.5697,0.55,3.05,Take-profit,0.01
